scenario,cycle,slug,started_utc,total_ms,status,method,instance_id,guest_uuid
single,0,restore-ssd22-0905-a,2026-09-05T14:52:55.555491+00:00,283.215293,200,restore,d2e3ef17-5f30-416c-8b4c-68c1e93bb20d,915a85b3-c384-4c2b-867f-29f0bc18acae
single,1,restore-ssd22-0905-a,2026-09-05T14:53:09.805334+00:00,185.669744,200,restore,b9917678-1e5a-446f-aeb6-2564b1aea6ba,a883ce02-00cb-4c22-9590-8e988ad204a5
single,2,restore-ssd22-0905-a,2026-09-05T14:53:23.487254+00:00,231.830406,200,restore,9a60f7de-6b0d-4eae-8cb4-aceff1b8fb50,4f04704c-7499-443e-a8b4-7516a6dea0c6
single,3,restore-ssd22-0905-a,2026-09-05T14:53:36.315054+00:00,180.068054,200,restore,571a1776-616d-4442-9f1a-69da9abd09cf,57ca8f89-03f0-43c6-95d4-45277d923a85
single,4,restore-ssd22-0905-a,2026-09-05T14:53:50.155489+00:00,198.355726,200,restore,a5c20548-39b3-44b9-bb7e-a43ca062d142,78d9fe02-c1a1-4765-8317-43db989eb92c
single,5,restore-ssd22-0905-a,2026-09-05T14:54:02.862628+00:00,183.725795,200,restore,c972ee1c-1c61-4e2a-84dc-0994a53c7036,819ea58a-1115-43bb-b0ba-b9709b278f4f
single,6,restore-ssd22-0905-a,2026-09-05T14:54:16.876089+00:00,177.992026,200,restore,1a0d8751-797f-49c9-9293-11ef36a70d24,68be5fed-97d9-4763-8184-c0ab70c5b8b4
single,7,restore-ssd22-0905-a,2026-09-05T14:54:29.965148+00:00,214.455196,200,restore,e65a5226-de25-4121-b49f-f0f5e4a59cd3,7e6607be-adf1-48d0-b850-f60d56e99871
single,8,restore-ssd22-0905-a,2026-09-05T14:54:42.969932+00:00,181.135265,200,restore,bcb4737e-5153-4d5f-9dbb-2c570cdf6aa2,127eddfc-4669-43ff-b816-354a4f1566bf
single,9,restore-ssd22-0905-a,2026-09-05T14:54:55.869073+00:00,189.781813,200,restore,79dcdbe2-839a-4115-9cd2-60a7012aa4e9,13c1bb29-e6d1-4f4c-8e4b-db86a5dfd35c
burst2_background,0,restore-ssd22-0905-a,2026-09-05T14:55:08.471529+00:00,227.603799,200,restore,95e9c6c0-4ab2-490c-8db1-6f037cb61f68,d8809e2a-4984-4391-9211-765094018014
burst2_background,0,restore-ssd22-0905-b,2026-09-05T14:55:08.471529+00:00,226.30287,200,restore,8a32b038-aa1c-40eb-ba34-a41e1a3cde40,75adeba9-544a-482f-a15e-1994e899a365
burst2_background,1,restore-ssd22-0905-a,2026-09-05T14:55:35.728639+00:00,221.380057,200,restore,1daaf464-3ad3-4a00-ad27-b25a0ca7235b,b0a0fded-3ca0-45ae-8e41-e33b1027834e
burst2_background,1,restore-ssd22-0905-b,2026-09-05T14:55:35.728639+00:00,232.460232,200,restore,4818a008-65f1-4700-8c3a-f443d4be7cda,53f27dde-aa92-4b20-8b15-d0ce6f053c5f
