sample	shape	wave	app	wake_id	request_ms_context_only	http_code	wake_header
1	sequential	1	public-val-go-persistent-0906	01a0887a-c7f7-7889-a9f5-2af3babfab48	739.322	200	restored
2	sequential	2	public-val-go-persistent-0906	01a0887b-16f4-79a7-8f67-d5d2e9eda6b1	419.134	200	restored
3	sequential	3	public-val-go-persistent-0906	01a0887b-6513-713b-a2b8-7ea831ea329b	473.158	200	restored
4	sequential	4	public-val-go-persistent-0906	01a0887b-b326-7926-bdaf-9dc9c22750ef	443.926	200	restored
5	sequential	5	public-val-go-persistent-0906	01a0887c-0197-7f2c-be59-e0b667246501	466.503	200	restored
6	sequential	6	public-val-go-persistent-0906	01a0887c-4ff9-7cbe-b246-039f0def699b	433.784	200	restored
7	sequential	7	public-val-go-persistent-0906	01a0887c-9e31-74f3-9057-8dd7073c4947	470.835	200	restored
8	sequential	8	public-val-go-persistent-0906	01a0887c-ecb1-79da-a39a-c7e113efe78f	428.474	200	restored
9	sequential	9	public-val-go-persistent-0906	01a0887d-3b18-79f2-a99b-138ba4376fc0	460.999	200	restored
10	sequential	10	public-val-go-persistent-0906	01a0887d-8980-7062-b024-b517dab58889	428.539	200	restored
11	sequential	11	public-val-go-persistent-0906	01a0887d-d886-7cf1-9e90-13f5d6aebeb8	422.356	200	restored
12	sequential	12	public-val-go-persistent-0906	01a0887e-26af-77d9-9c54-31184210e492	431.996	200	restored
13	sequential	13	public-val-go-persistent-0906	01a0887e-750c-74ec-a670-fc361de9e342	402.921	200	restored
14	sequential	14	public-val-go-persistent-0906	01a0887e-bde3-7957-b9c3-bf547bc95183	438.936	200	restored
15	sequential	15	public-val-go-persistent-0906	01a0887f-0bfa-73f0-be20-25a391b2059f	414.178	200	restored
16	sequential	16	public-val-go-persistent-0906	01a0887f-5f23-7475-baf7-bbafc172178d	462.295	200	restored
17	sequential	17	public-val-go-persistent-0906	01a0887f-a811-7e87-b376-a4dec626efb8	427.405	200	restored
18	sequential	18	public-val-go-persistent-0906	01a0887f-f66c-720b-9227-c1273d0d56f4	468.442	200	restored
19	sequential	19	public-val-go-persistent-0906	01a08880-446d-7213-93e1-840d44ec9618	435.421	200	restored
20	sequential	20	public-val-go-persistent-0906	01a08880-92d8-7494-a591-21701a2dbf9e	497.715	200	restored
21	sequential	21	public-val-go-persistent-0906	01a08880-e163-7200-96e5-280bb6a93ea1	431.573	200	restored
22	sequential	22	public-val-go-persistent-0906	01a08881-2f7f-7515-8a39-96b1f8665fc5	446.861	200	restored
23	sequential	23	public-val-go-persistent-0906	01a08881-7dfe-7ae1-ab70-ffbf9a5286e2	436.151	200	restored
24	sequential	24	public-val-go-persistent-0906	01a08881-cbc5-7549-be6c-8a839f0c9273	447.418	200	restored
25	sequential	25	public-val-go-persistent-0906	01a08882-1a03-768f-8a66-dd6a462e3bf2	442.480	200	restored
26	sequential	26	public-val-go-persistent-0906	01a08882-686a-78ed-8fc8-859a55b6103c	401.108	200	restored
27	sequential	27	public-val-go-persistent-0906	01a08882-b647-7dc3-b5a7-a1ca5dca75e7	576.943	200	restored
28	sequential	28	public-val-go-persistent-0906	01a08883-04c8-7a84-aa54-c05c1f095485	422.402	200	restored
29	sequential	29	public-val-go-persistent-0906	01a08883-5356-7ab3-8fda-a4e00755f6de	459.517	200	restored
30	sequential	30	public-val-go-persistent-0906	01a08883-a1e4-77db-a024-d8c1c8817a1a	424.081	200	restored
31	sequential	31	public-val-go-persistent-0906	01a08883-efe6-7843-9079-0a2afed92e8c	425.148	200	restored
32	sequential	32	public-val-go-persistent-0906	01a08884-3e2c-777e-83f1-a4f1a5a406f8	428.203	200	restored
33	sequential	33	public-val-go-persistent-0906	01a08884-8c2a-7329-b118-0d1dcf584fa7	432.110	200	restored
34	sequential	34	public-val-go-persistent-0906	01a08884-da3e-7163-8560-d93d91042ea6	465.559	200	restored
35	sequential	35	public-val-go-persistent-0906	01a08885-28af-7643-b6c4-64ef451605ec	465.928	200	restored
36	sequential	36	public-val-go-persistent-0906	01a08885-76f9-7e84-a8ee-62787f5736b8	452.012	200	restored
37	sequential	37	public-val-go-persistent-0906	01a08885-c528-7ccc-823d-cdf3db1c20da	432.379	200	restored
38	sequential	38	public-val-go-persistent-0906	01a08886-13ba-7b96-9968-89480f3fa048	436.978	200	restored
39	sequential	39	public-val-go-persistent-0906	01a08886-61d1-75ae-8f30-08237ba96aa6	471.428	200	restored
40	sequential	40	public-val-go-persistent-0906	01a08886-afeb-7b94-b77e-1001645d8428	447.802	200	restored
41	sequential	41	public-val-go-persistent-0906	01a08886-fe58-761c-8fe9-42060c400283	413.628	200	restored
42	sequential	42	public-val-go-persistent-0906	01a08887-4d59-7bc0-9923-af2f65bc89ef	437.425	200	restored
43	sequential	43	public-val-go-persistent-0906	01a08887-9b78-739e-879b-1b6c987a5b14	417.503	200	restored
44	sequential	44	public-val-go-persistent-0906	01a08887-e883-784a-8683-227ba08027e0	510.840	200	restored
45	sequential	45	public-val-go-persistent-0906	01a08888-36ce-76bc-87dd-4809047d7633	423.830	200	restored
46	sequential	46	public-val-go-persistent-0906	01a08888-8552-7ebf-b1fd-5a4a13c9d4bd	428.117	200	restored
47	sequential	47	public-val-go-persistent-0906	01a08888-d382-75e9-9fc7-f08291b0f380	424.352	200	restored
48	sequential	48	public-val-go-persistent-0906	01a08889-2265-7c3e-a802-ebcef8630cb7	447.706	200	restored
49	sequential	49	public-val-go-persistent-0906	01a08889-7069-789e-8e02-c3425964178e	461.554	200	restored
50	sequential	50	public-val-go-persistent-0906	01a08889-bed5-7ebe-9a19-e0e5495c5ab6	420.804	200	restored
51	sequential	51	public-val-go-persistent-0906	01a0888a-0d5c-7e89-b00a-0b2afcccd81a	444.078	200	restored
52	sequential	52	public-val-go-persistent-0906	01a0888a-5bd2-75cb-8cdd-0b5ac838759e	424.771	200	restored
53	burst3	1	public-val-go-persistent-0906	01a0888a-cbb8-7cf1-be1b-a9ffed173c62	296.234	200	restored
54	burst3	1	public-val-go-oneshot-0906	01a0888a-cbb9-7949-83f8-f89490921103	366.380	200	restored
55	burst3	1	runtime-node24-0907	01a0888a-cbb8-70c3-b884-3ef5de79ce9f	452.941	200	restored
56	burst3	2	public-val-go-persistent-0906	01a0888b-2c37-7cba-93b0-5b54d93787a5	365.823	200	restored
57	burst3	2	public-val-go-oneshot-0906	01a0888b-2c42-7b56-b009-41d880b09f7e	365.821	200	restored
58	burst3	2	runtime-python313-generation-0907	01a0888b-2c45-7682-9cab-abc8b9872e8a	557.786	200	restored
59	burst3	3	public-val-go-persistent-0906	01a0888b-7e57-7441-8c09-0f0bb4d86306	245.093	200	restored
60	burst3	3	runtime-node24-0907	01a0888b-7e63-7de9-85ef-2b22582ffd7a	460.936	200	restored
61	burst3	3	runtime-python313-generation-0907	01a0888b-7e65-7612-9adc-9d385b5b527a	537.167	200	restored
62	burst3	4	public-val-go-oneshot-0906	01a0888b-ceb3-7661-a560-dd340a3639b9	414.543	200	restored
63	burst3	4	runtime-node24-0907	01a0888b-ceb4-74c4-bf20-c909acc7b5e6	469.274	200	restored
64	burst3	4	runtime-python313-generation-0907	01a0888b-ceb4-7ddb-9cb6-206a84a3b43f	968.285	200	restored
65	burst3	5	public-val-go-persistent-0906	01a0888c-181d-75e7-83b7-7fa739df3978	394.996	200	restored
66	burst3	5	public-val-go-oneshot-0906	01a0888c-1823-734e-9b21-1e8e7b59fa6d	353.575	200	restored
67	burst3	5	runtime-node24-0907	01a0888c-1822-774a-ad7c-d6aa0d81608d	453.389	200	restored
68	burst3	6	public-val-go-persistent-0906	01a0888c-6a2f-719d-ba9c-b90d4ff8a3b4	406.553	200	restored
69	burst3	6	public-val-go-oneshot-0906	01a0888c-6a38-75f5-a5c7-452b3cc41acc	425.234	200	restored
70	burst3	6	runtime-python313-generation-0907	01a0888c-6a37-7634-81ad-952069561968	464.133	200	restored
71	burst3	7	public-val-go-persistent-0906	01a0888c-b757-7c3f-8582-d9354a063d72	406.186	200	restored
72	burst3	7	runtime-node24-0907	01a0888c-b761-7504-8b3a-d8839b7f0ee7	456.394	200	restored
73	burst3	7	runtime-python313-generation-0907	01a0888c-b75d-7723-a9d3-77ee1c26cd86	454.967	200	restored
74	burst3	8	public-val-go-oneshot-0906	01a0888d-0787-7ea2-996c-a91750101ce3	397.459	200	restored
75	burst3	8	runtime-node24-0907	01a0888d-078e-7248-aceb-6e218f9491fb	469.325	200	restored
76	burst3	8	runtime-python313-generation-0907	01a0888d-078f-7ae8-a777-a79f85b303b5	949.962	200	restored
77	burst3	9	public-val-go-persistent-0906	01a0888d-5723-7a72-ac53-4f8846c071b5	351.971	200	restored
78	burst3	9	public-val-go-oneshot-0906	01a0888d-572f-7c68-b516-2335d97760ee	434.482	200	restored
79	burst3	9	runtime-node24-0907	01a0888d-572e-7d8b-8776-0c5ff5ceb92d	457.187	200	restored
80	burst3	10	public-val-go-persistent-0906	01a0888d-9f25-786c-bf05-eda6986ecbf9	373.296	200	restored
81	burst3	10	public-val-go-oneshot-0906	01a0888d-9f34-74df-a9f3-7a7e75b40201	369.605	200	restored
82	burst3	10	runtime-python313-generation-0907	01a0888d-9f30-75e9-a826-54c3a455e524	1140.469	200	restored
83	burst3	11	public-val-go-persistent-0906	01a0888d-ef1d-73fd-b345-f7abf8f1feef	381.457	200	restored
84	burst3	11	runtime-node24-0907	01a0888d-ef2e-79f5-8e3a-42faa629a10b	453.828	200	restored
85	burst3	11	runtime-python313-generation-0907	01a0888d-ef1e-713a-b0fa-d9260748f09e	640.706	200	restored
86	burst3	12	public-val-go-oneshot-0906	01a0888e-4661-7e26-841c-782968af7648	444.853	200	restored
87	burst3	12	runtime-node24-0907	01a0888e-4673-7d04-9279-0bdbb59e0a93	408.030	200	restored
88	burst3	12	runtime-python313-generation-0907	01a0888e-4667-7caa-a06f-0bc589136a05	504.064	200	restored
89	burst3	13	public-val-go-persistent-0906	01a0888e-b50e-7da4-b05b-1b0a83f4d0ab	248.215	200	restored
90	burst3	13	public-val-go-oneshot-0906	01a0888e-b50e-7014-8231-ab188247d01a	443.375	200	restored
91	burst3	13	runtime-node24-0907	01a0888e-b512-7215-9201-3f66df201c5b	470.577	200	restored
92	burst3	14	public-val-go-persistent-0906	01a0888f-02d2-753e-a206-ec90374ee239	361.929	200	restored
93	burst3	14	public-val-go-oneshot-0906	01a0888f-02de-71d1-9a8b-d6cc22b9bdac	409.560	200	restored
94	burst3	14	runtime-python313-generation-0907	01a0888f-02da-79fe-ad80-1f2b8bb7c566	1056.295	200	restored
95	burst3	15	public-val-go-persistent-0906	01a0888f-51e7-7e0d-aa32-768404fc198d	387.694	200	restored
96	burst3	15	runtime-node24-0907	01a0888f-51e9-779c-8304-69e402a3390d	400.211	200	restored
97	burst3	15	runtime-python313-generation-0907	01a0888f-51e7-756d-9dc0-677115069c91	848.589	200	restored
98	burst3	16	public-val-go-oneshot-0906	01a0888f-9ac5-77bc-9ee3-46cd4e8d48b4	370.209	200	restored
99	burst3	16	runtime-node24-0907	01a0888f-9ac9-7291-b9f2-b16abbb70a9d	468.973	200	restored
100	burst3	16	runtime-python313-generation-0907	01a0888f-9acc-7c5d-8ff9-ec8a6b064d4c	1162.536	200	restored
